x,y,inside
0.79140049,0.86633861,0
0.90113759,0.83712077,0
0.55530769,0.66451037,1
0.78999335,0.57231539,1
0.31013039,0.86352444,1
0.23662461,0.06961186,1
0.31724265,0.34682432,1
0.46326366,0.50713646,1
0.69383031,0.11087103,1
0.37675059,0.82610577,1
0.45583442,0.35339439,1
0.31152654,0.55704504,1
0.41875967,0.75706005,1
0.18308766,0.89950216,1
0.57811725,0.29946879,1
0.06292272,0.68726104,1
0.78504556,0.94672370,0
0.95660424,0.08992021,1
0.04001539,0.98517126,1
0.43570134,0.06684099,1
0.21470013,0.25785300,1
0.80706382,0.37115476,1
0.35756686,0.24908029,1
0.96866769,0.82423449,0
0.04798580,0.63161075,1
0.69732022,0.86774737,0
0.41523680,0.41559872,1
0.95116651,0.28251886,1
0.61170167,0.71025306,1
0.35949194,0.99127257,0
0.52622360,0.68667597,1
0.89334923,0.96734881,0
0.50945050,0.86560279,0
0.16577853,0.50406730,1
0.82984686,0.83423525,0
0.36057165,0.29678813,1
0.24515243,0.58573884,1
0.89662188,0.49625531,0
0.66985428,0.93226957,0
0.45045555,0.75657338,1
0.21608004,0.02542574,1
0.65820503,0.24667963,1
0.73931676,0.90009290,0
0.63826317,0.73577559,1
0.07750291,0.43755427,1
0.01952706,0.67715657,1
0.66605103,0.13434392,1
0.14970626,0.40122545,1
0.45015255,0.52097839,1
0.71973330,0.89074337,0
0.70565754,0.91472805,0
0.78730685,0.91155303,0
0.58419949,0.98108405,0
0.75306565,0.32962286,1
0.22933227,0.26046404,1
0.23119867,0.00982679,1
0.08356948,0.44642738,1
0.72742122,0.62459975,1
0.41445193,0.63934940,1
0.64981329,0.74146158,1
0.45566046,0.04284061,1
0.37338910,0.20267791,1
0.63610542,0.42582753,1
0.33959389,0.21878268,1
0.74864256,0.01699357,1
0.06078151,0.23844057,1
0.33657849,0.73257452,1
0.43601224,0.36173919,1
0.33434814,0.68868589,1
0.33127949,0.29708990,1
0.00987626,0.49140501,1
0.82391798,0.22599176,1
0.83966959,0.60581470,0
0.77540648,0.13722876,1
0.50887638,0.64552438,1
0.56065208,0.25682631,1
0.57831228,0.71454459,1
0.80886906,0.99930185,0
0.69041908,0.94692588,0
0.85527730,0.55875397,0
0.91727698,0.44564095,0
0.75389558,0.90096807,0
0.30363157,0.76535767,1
0.97826219,0.23302466,0
0.35184610,0.14728320,1
0.65144014,0.30364907,1
0.95626080,0.34865901,0
0.00820489,0.14367659,1
0.51647592,0.55487233,1
0.27882874,0.40463600,1
0.58234060,0.40644547,1
0.40584499,0.55056340,1
0.61007124,0.91878790,0
0.60841435,0.43459263,1
0.04812380,0.14994757,1
0.71360248,0.45236772,1
0.20152739,0.85724288,1
0.28756547,0.03236941,1
0.69948304,0.10005403,1
0.49607831,0.89091033,0
0.23178652,0.42280993,1
0.66518253,0.42283791,1
0.34939846,0.07936802,1
0.46762893,0.17953905,1
0.65429407,0.15945232,1
0.63594252,0.19400977,1
0.20873968,0.56718457,1
0.75113946,0.31472832,1
0.12523130,0.25334781,1
0.06731604,0.58117908,1
0.97740084,0.18631431,1
0.93264967,0.44164541,0
0.50642556,0.08482466,1
0.00454590,0.12645656,1
0.02828194,0.91231102,1
0.28022063,0.10963177,1
0.25527400,0.00124711,1
0.82246649,0.49504927,1
0.86580890,0.11678955,1
0.04782961,0.59440076,1
0.44642648,0.99402547,0
0.62253606,0.08121258,1
0.15395768,0.11786681,1
0.86144644,0.86587304,0
0.87576514,0.10208034,1
0.41508389,0.45971379,1
0.03502786,0.22921863,1
0.30081120,0.87053585,1
0.96318120,0.97192812,0
0.60597241,0.44857523,1
0.40287581,0.13423653,1
0.15128495,0.66898352,1
0.06832834,0.70559096,1
0.53252155,0.59705937,1
0.72579014,0.37856594,1
0.46588084,0.14350840,1
0.95507967,0.04499489,1
0.31174904,0.64161551,1
0.92508519,0.08592062,1
0.67403883,0.17128235,1
0.15932153,0.48326045,1
0.13095140,0.39139891,1
0.20767406,0.45772007,1
0.02490810,0.51105112,1
0.25172555,0.25754470,1
0.59546870,0.70421284,1
0.04034815,0.63807964,1
0.92621613,0.79907823,0
0.40635568,0.23676661,1
0.79272628,0.92213339,0
0.09508686,0.99851829,0
0.00419262,0.72523046,1
0.13111177,0.40579703,1
0.96960217,0.70689708,0
0.57557780,0.92988491,0
0.32339120,0.67082757,1
0.52285093,0.54629296,1
0.56116736,0.00895929,1
0.78204978,0.84084445,0
0.50640136,0.58026278,1
0.10635709,0.48819014,1
0.47779816,0.81231409,1
0.34370369,0.22384462,1
0.65096432,0.21363454,1
0.47798258,0.78232688,1
0.43967763,0.58090419,1
0.36711836,0.35145339,1
0.46904200,0.06136957,1
0.95904100,0.93727899,0
0.63842261,0.93508053,0
0.23238325,0.26033273,1
0.17323068,0.57136941,1
0.55630517,0.22701378,1
0.57795161,0.94883549,0
0.17553894,0.35575920,1
0.35284814,0.42761546,1
0.96811664,0.94924998,0
0.27081439,0.36741996,1
0.63945305,0.48741725,1
0.05273775,0.21405537,1
0.78150034,0.39820555,1
0.54812175,0.78112787,1
0.82628727,0.94275188,0
0.27644977,0.28456703,1
0.22770223,0.62553573,1
0.88404381,0.30636519,1
0.32932597,0.56799406,1
0.00413406,0.23533310,1
0.68723965,0.13475101,1
0.16569965,0.16098326,1
0.19836509,0.33372813,1
0.65039217,0.29879808,1
0.33306479,0.47407565,1
0.82609200,0.04142171,1
0.29587102,0.51540458,1
0.34068969,0.24400032,1
0.97041053,0.33376151,0
0.90937501,0.87084246,0
0.06650487,0.86362934,1
0.25377256,0.67674786,1
0.16212606,0.20032604,1
0.32588455,0.24899644,1
0.45809218,0.27741748,1
0.47209075,0.18780908,1
0.14977777,0.60639948,1
0.42178240,0.41787121,1
0.52320272,0.61381429,1
0.54819870,0.75558066,1
0.60685939,0.29751280,1
0.45682222,0.79568648,1
0.72754151,0.98715299,0
0.44974995,0.88688934,1
0.42162210,0.90000319,1
0.40767068,0.43458959,1
0.24236245,0.75128525,1
0.60308361,0.95785213,0
0.02081716,0.24858858,1
0.13336982,0.43551156,1
0.79171813,0.54983902,1
0.50689703,0.42562866,1
0.66869706,0.28520057,1
0.51251543,0.57511753,1
0.36001709,0.85203767,1
0.77927560,0.67988211,0
0.91497779,0.83543563,0
0.69943523,0.60618538,1
0.23107129,0.47516242,1
0.78849798,0.58675045,1
0.13759185,0.98397285,1
0.88843971,0.13989575,1
0.83996284,0.56003308,0
0.74606311,0.55171138,1
0.12237584,0.14229855,1
0.48356357,0.73931628,1
0.85134798,0.60415024,0
0.12318940,0.48804113,1
0.72020024,0.06533743,1
0.66873527,0.50000048,1
0.37697375,0.88824952,1
0.62419027,0.99726993,0
0.05338418,0.71685189,1
0.66768801,0.83595026,0
0.88603830,0.82773209,0
0.14848550,0.49512866,1
0.77473754,0.88208348,0
0.20040071,0.38741773,1
0.10071656,0.67503858,1
0.10830647,0.18184033,1
0.48339424,0.94738424,0
0.52602935,0.94398814,0
0.37846413,0.96498317,0
0.81998134,0.02413117,1
0.70737875,0.66523290,1
0.13630852,0.80922699,1
0.04582803,0.61309177,1
0.12251960,0.08310577,1
0.03258209,0.98723334,1
0.96355450,0.13622440,1
0.58632177,0.25800297,1
0.79166675,0.04985961,1
0.70630306,0.39406720,1
0.84582752,0.05645274,1
0.33251107,0.27249050,1
0.14095613,0.65280390,1
0.75902826,0.76008511,0
0.79124248,0.39117858,1
0.54658508,0.90935194,0
0.25783849,0.33666328,1
0.92691404,0.24312000,1
0.71064031,0.09853525,1
0.02326971,0.01821863,1
0.02286403,0.26645631,1
0.63083160,0.07014751,1
0.84990537,0.46104184,1
0.31722808,0.06294258,1
0.19375063,0.64745206,1
0.69254535,0.77152097,0
0.10863538,0.96297032,1
0.15944186,0.79156756,1
0.63591218,0.60439914,1
0.20787436,0.73985875,1
0.22355960,0.71935779,1
0.61694038,0.09266577,1
0.59985203,0.20270920,1
0.02187149,0.89663142,1
0.74722564,0.53979880,1
0.84723788,0.57294267,0
0.05749216,0.78754449,1
0.59844917,0.63312054,1
0.17879805,0.44173849,1
0.30990687,0.61090750,1
0.56308663,0.85195810,0
0.73027712,0.63237667,1
0.34657851,0.29879719,1
0.56890607,0.45870745,1
0.09085692,0.51915771,1
0.81761551,0.39396921,1
0.65089077,0.28253415,1
0.43050838,0.23559698,1
0.86458617,0.92316294,0
0.58791393,0.37147245,1
0.32881343,0.67710352,1
0.99947518,0.02671143,1
0.49711594,0.58853984,1
0.35070977,0.80512214,1
0.36107117,0.12462069,1
0.30335876,0.49101651,1
0.92121691,0.87327439,0
0.34820303,0.33932602,1
0.19026752,0.88012123,1
0.91315186,0.11497699,1
0.57404763,0.95174932,0
0.21872966,0.86030179,1
0.93335372,0.77767974,0
0.91803968,0.87457460,0
0.64446336,0.72161728,1
0.51549357,0.89661127,0
0.73114449,0.88987762,0
0.68603671,0.14978185,1
0.07886462,0.22989695,1
0.02653823,0.18622729,1
0.37852076,0.94766456,0
0.68849987,0.29282033,1
0.68972576,0.58189511,1
0.36599714,0.49756566,1
0.33301485,0.21879730,1
0.21893841,0.87527341,1
0.53210521,0.68564105,1
0.08006890,0.74807167,1
0.79052454,0.92558956,0
0.14792547,0.22738594,1
0.54477036,0.11351450,1
0.84872609,0.59260339,0
0.06498591,0.25259835,1
0.37531343,0.19024350,1
0.80520821,0.86187732,0
0.42203203,0.62514132,1
0.73366314,0.20331016,1
0.99622595,0.27308455,0
0.64886677,0.87128955,0
0.18934758,0.98224664,0
0.30131078,0.98973882,0
0.28821427,0.45241380,1
0.96869624,0.16903612,1
0.85389113,0.63365430,0
0.69428998,0.69611597,1
0.23570719,0.63353038,1
0.94380754,0.60984337,0
0.18576013,0.01813502,1
0.55644679,0.29620242,1
0.50072122,0.83219618,1
0.53236228,0.14552768,1
0.52639323,0.61572558,1
0.14152795,0.39782402,1
0.15998377,0.97616208,1
0.04724930,0.16435647,1
0.28242940,0.16032907,1
0.51231283,0.08444381,1
0.45889738,0.64099395,1
0.80967641,0.59185529,0
0.63890803,0.93707502,0
0.53879941,0.84257150,0
0.63614064,0.35817674,1
0.67876053,0.40042472,1
0.59336901,0.73915887,1
0.35431260,0.09882907,1
0.07009567,0.84014589,1
0.45210534,0.20804225,1
0.52070540,0.88625324,0
0.03499484,0.20034620,1
0.01293639,0.87035447,1
0.93946350,0.62864381,0
0.08675265,0.06061862,1
0.24217184,0.10806118,1
0.36356345,0.31078038,1
0.76985103,0.41847530,1
0.62811917,0.38207877,1
0.38246411,0.40743488,1
0.21698740,0.68737066,1
0.45314759,0.90225804,0
0.78347516,0.44556025,1
0.13392226,0.22363004,1
0.72405040,0.41445905,1
0.01546458,0.67758310,1
0.11478877,0.42118579,1
0.60999459,0.87386841,0
0.19508168,0.94345701,1
0.77727652,0.49882329,1
0.13312684,0.60709947,1
0.17632137,0.46966347,1
0.11699852,0.79336727,1
0.21671726,0.02592672,1
0.85694224,0.31869909,1
0.44381553,0.64946836,1
0.30548149,0.96262378,0
0.46790332,0.28350902,1
0.44456261,0.78934675,1
0.83147162,0.47326413,1
0.69169980,0.37517515,1
0.20006867,0.01889598,1
0.02705323,0.77428859,1
0.21506795,0.78278518,1
0.03592151,0.39742115,1
0.34264141,0.58616519,1
0.64186239,0.73404545,1
0.96902019,0.06332763,1
0.70033133,0.19872558,1
0.09017446,0.62830210,1
0.65094531,0.90181172,0
0.16315721,0.55022383,1
0.46090537,0.19788454,1
0.24429233,0.18991096,1
0.26938504,0.85670167,1
0.98820335,0.64977288,0
0.50930732,0.84128731,1
0.28119421,0.06016738,1
0.54373413,0.87381542,0
0.32377476,0.32272696,1
0.25501457,0.69543421,1
0.14141104,0.31963775,1
0.01030750,0.21552381,1
0.67577827,0.93245542,0
0.53704882,0.45943278,1
0.79893374,0.56017053,1
0.19923562,0.59166473,1
0.12257085,0.93656141,1
0.10197963,0.30172071,1
0.17104793,0.95067102,1
0.97762877,0.84456497,0
0.10800017,0.70293331,1
0.43818852,0.78974378,1
0.44669563,0.92144096,0
0.79861140,0.70927262,0
0.50837463,0.82797021,1
0.51729757,0.54380792,1
0.26278275,0.35401163,1
0.67740226,0.38120231,1
0.89951998,0.93039477,0
0.69886899,0.24225321,1
0.16095753,0.40267321,1
0.33977199,0.89146900,1
0.68833345,0.00463850,1
0.18731816,0.21429434,1
0.78540742,0.55783355,1
0.03058588,0.99732101,1
0.51395279,0.54313827,1
0.28856558,0.60927689,1
0.73059046,0.20351152,1
0.73312163,0.26997998,1
0.53890193,0.46906206,1
0.21314785,0.17404205,1
0.76409972,0.10200556,1
0.34749857,0.32043543,1
0.28648299,0.44308874,1
0.23859380,0.75903511,1
0.68257248,0.46267912,1
0.75173867,0.25546125,1
0.63429457,0.34332412,1
0.61431724,0.37493348,1
0.23170383,0.46900290,1
0.29807866,0.09028611,1
0.60818404,0.09518128,1
0.51348668,0.25805268,1
0.07849457,0.71001089,1
0.75074148,0.13835375,1
0.93366545,0.18434012,1
0.32965031,0.04571175,1
0.87520415,0.32955500,1
0.49359131,0.08877951,1
0.60914600,0.02123267,1
0.32080159,0.81977510,1
0.08932707,0.27247819,1
0.51431358,0.07471440,1
0.68172389,0.32352829,1
0.77079552,0.25550979,1
0.10621254,0.87027848,1
0.65699470,0.67475027,1
0.18452376,0.46828246,1
0.27606452,0.46776488,1
0.27277598,0.96660727,0
0.90167093,0.25215840,1
0.35458589,0.28903484,1
0.98690224,0.15627128,1
0.46026894,0.74581969,1
0.76689678,0.59323609,1
0.12837309,0.01361537,1
0.28743798,0.68542606,1
0.24474330,0.22075194,1
0.72142094,0.73491067,0
0.74077523,0.18374772,1
0.27923420,0.59780812,1
0.48278213,0.70349944,1
0.20804721,0.95813924,1
0.35587534,0.17571872,1
0.28305146,0.50777829,1
0.04692370,0.92279804,1
0.14773013,0.61756009,1
0.28324676,0.89793533,1
0.06173394,0.27425697,1
0.19928451,0.65084934,1
0.80162597,0.00599950,1
0.64691514,0.22297792,1
0.27274543,0.39414096,1
0.79916626,0.12939122,1
0.81131214,0.81829661,0
0.97472274,0.91251296,0
0.28069139,0.78272134,1
0.01918843,0.99864429,1
0.41266611,0.65352178,1
0.50789219,0.17108458,1
0.58929855,0.45302713,1
0.34239000,0.70483309,1
0.30918902,0.80388266,1
0.31966642,0.27664018,1
0.54614496,0.91160935,0
0.79232574,0.58496493,1
0.17528094,0.71578413,1
0.57408774,0.92081165,0
0.41430080,0.79371095,1
0.87989217,0.77558482,0
0.46792245,0.45314085,1
0.21198545,0.88895994,1
0.25030369,0.49698335,1
0.12909505,0.01635170,1
0.23031686,0.54410738,1
0.27095574,0.90437949,1
0.91307670,0.48158786,0
0.50701731,0.74062735,1
0.48260999,0.41629729,1
0.71597713,0.29178450,1
0.25870940,0.33020347,1
0.81558752,0.19394796,1
0.95513910,0.68649858,0
0.99826705,0.95981550,0
0.72146201,0.13024664,1
0.28709349,0.69073576,1
0.46563652,0.58540225,1
0.30516648,0.45315793,1
0.26706803,0.24432167,1
0.72736067,0.55092776,1
0.30916142,0.07635652,1
0.84247375,0.19410583,1
0.62886202,0.30984890,1
0.79326481,0.15219638,1
0.36883688,0.96622998,0
0.65846354,0.09849083,1
0.38230455,0.55976182,1
0.97081918,0.80446959,0
0.53287232,0.85224706,0
0.56192678,0.55906624,1
0.27838194,0.83601516,1
0.97816938,0.46291190,0
0.84200925,0.57846206,0
0.08835790,0.55407590,1
0.52547073,0.32671112,1
0.43415305,0.49212924,1
0.89172798,0.17710985,1
0.96600133,0.40504000,0
0.93002820,0.21110472,1
0.49946806,0.06386647,1
0.02015607,0.20766695,1
0.27789208,0.30873227,1
0.67862844,0.50182343,1
0.44636393,0.08250048,1
0.66365111,0.56073892,1
0.01715915,0.21145867,1
0.20947589,0.65645856,1
0.57423347,0.12672780,1
0.01334865,0.87726599,1
0.37455150,0.12394024,1
0.41891542,0.08396582,1
0.52757174,0.96831375,0
0.96332818,0.51452595,0
0.52604729,0.51367593,1
0.20885469,0.68569285,1
0.07638269,0.71290731,1
0.54931039,0.92265302,0
0.48482844,0.34662217,1
0.82706308,0.13974738,1
0.20234910,0.25725356,1
0.53819400,0.63759822,1
0.38056937,0.90582693,1
0.40567052,0.15219806,1
0.43435237,0.93061596,0
0.68552536,0.66678214,1
0.81920624,0.31442335,1
0.17817874,0.76106322,1
0.88056666,0.52206546,0
0.97701842,0.19213009,1
0.86110759,0.50646150,1
0.01648504,0.30713448,1
0.66042185,0.55853438,1
0.36960435,0.51837361,1
0.20087619,0.27730101,1
0.99667448,0.76257336,0
0.10373542,0.69385529,1
0.01723599,0.82916749,1
0.84111315,0.38358313,1
0.89222187,0.07146954,1
0.27815136,0.85987639,1
0.99857932,0.11146526,0
0.77235818,0.60833305,1
0.42472047,0.05860667,1
0.87522137,0.66520721,0
0.30831939,0.31210348,1
0.87122393,0.25725758,1
0.59449714,0.95311719,0
0.43529931,0.52481836,1
0.39834729,0.31207880,1
0.58761537,0.95630682,0
0.27402145,0.62616503,1
0.14252210,0.66584045,1
0.25209031,0.63855392,1
0.29926717,0.13644159,1
0.82487142,0.19336265,1
0.74918681,0.94063747,0
0.71477175,0.37026748,1
0.58540142,0.13312554,1
0.35153890,0.39252761,1
0.63209343,0.29335439,1
0.70245421,0.19331357,1
0.63378489,0.59925777,1
0.25739184,0.71891367,1
0.76583701,0.63405371,1
0.53410047,0.74356729,1
0.22110903,0.54616410,1
0.40240872,0.89553231,1
0.00957682,0.87767589,1
0.14187534,0.60129941,1
0.52559841,0.01597219,1
0.87650013,0.51674515,0
0.70729798,0.98476934,0
0.70685118,0.66557640,1
0.81207418,0.82137960,0
0.57692319,0.55535716,1
0.49980053,0.55237818,1
0.98427337,0.96198726,0
0.20981978,0.01863037,1
0.36133307,0.68506807,1
0.94106305,0.92431539,0
0.77599043,0.86107862,0
0.63258922,0.14601532,1
0.66591388,0.42536032,1
0.09996255,0.42176095,1
0.60396445,0.99171889,0
0.62584150,0.12428489,1
0.13143292,0.19272290,1
0.50174475,0.81617862,1
0.79970264,0.68293458,0
0.04096745,0.04737170,1
0.10907689,0.70141381,1
0.06450398,0.39662257,1
0.63872027,0.46902803,1
0.42735294,0.48190296,1
0.37770212,0.40411741,1
0.01260154,0.11825578,1
0.32410711,0.90363830,1
0.13866073,0.71246976,1
0.14764485,0.54413944,1
0.64485222,0.34491071,1
0.71638739,0.76064461,0
0.16740182,0.54743934,1
0.84507096,0.34178418,1
0.62358177,0.45135900,1
0.91176850,0.68469888,0
0.08470064,0.44756213,1
0.30655771,0.24177855,1
0.61192983,0.00191546,1
0.63289261,0.49644876,1
0.83497864,0.76094717,0
0.96272916,0.72572559,0
0.69142413,0.62199432,1
0.01459394,0.10668524,1
0.88993269,0.40481648,1
0.01848197,0.41099074,1
0.23437485,0.40763649,1
0.09834255,0.36098093,1
0.17277595,0.58405828,1
0.12187176,0.34879002,1
0.46444309,0.22507428,1
0.32534638,0.05435567,1
0.32189068,0.18686283,1
0.94468600,0.97666425,0
0.75752735,0.16110694,1
0.22123665,0.41926220,1
0.04396788,0.64967638,1
0.76232618,0.55129665,1
0.85930079,0.47926849,1
0.40889701,0.29997930,1
0.45367661,0.14422821,1
0.69266260,0.07204338,1
0.88057339,0.40848184,1
0.63086706,0.29016870,1
0.19955090,0.13461211,1
0.68491501,0.65430242,1
0.10906129,0.32778013,1
0.50778329,0.47528037,1
0.61552191,0.05245897,1
0.77471507,0.65687376,0
0.94281954,0.39359382,0
0.22332257,0.06636411,1
0.36918494,0.69169444,1
0.55831981,0.31400266,1
0.93045431,0.35526741,1
0.18343085,0.86427921,1
0.24482095,0.64064890,1
0.12846123,0.32218197,1
0.02561349,0.43020165,1
0.26935223,0.84531552,1
0.92883348,0.60789531,0
0.24905910,0.65869248,1
0.26685670,0.27738667,1
0.21344377,0.72264761,1
0.72426492,0.08126254,1
0.77797866,0.62797731,1
0.05343535,0.73647732,1
0.78610218,0.11841688,1
0.32381287,0.49499312,1
0.74097961,0.64449847,1
0.56867516,0.72898996,1
0.01534351,0.02861321,1
0.63957220,0.56116658,1
0.09582756,0.13908052,1
0.72237664,0.46833515,1
0.04891668,0.95178241,1
0.12103883,0.65102100,1
0.43606085,0.94922364,0
0.37332645,0.67898846,1
0.85212916,0.22267587,1
0.26386243,0.05659386,1
0.01288949,0.03911315,1
0.34567314,0.50093848,1
0.16231541,0.20563518,1
0.35593516,0.03485422,1
0.09856836,0.51386786,1
0.71256459,0.50104111,1
0.96967101,0.89053154,0
0.17365287,0.79468697,1
0.91407651,0.48027074,0
0.80997401,0.10306589,1
0.39172843,0.42204162,1
0.54202753,0.74236578,1
0.12544945,0.46582687,1
0.65453684,0.14316995,1
0.76839179,0.63739276,1
0.39688864,0.85486114,1
0.35964930,0.76900816,1
0.48930180,0.16962613,1
0.98325104,0.42708132,0
0.32061237,0.85741228,1
0.02511697,0.75510025,1
0.22209589,0.80611765,1
0.47683626,0.74271274,1
0.23267837,0.47541893,1
0.61423504,0.54623836,1
0.88109142,0.40606952,1
0.97518241,0.14413217,1
0.39888287,0.59886682,1
0.86724287,0.81100684,0
0.02843123,0.11445718,1
0.53839290,0.58816403,1
0.73015624,0.06355665,1
0.66465068,0.02000822,1
0.09162842,0.00405218,1
0.36622769,0.84652966,1
0.37830088,0.98298174,0
0.14067464,0.39485416,1
0.48768800,0.77390486,1
0.29316619,0.67666793,1
0.73162192,0.03712625,1
0.51683754,0.10562865,1
0.75442475,0.58559108,1
0.46475863,0.10665981,1
0.84846961,0.27733180,1
0.14691576,0.01758604,1
0.74567330,0.20172629,1
0.70248955,0.85485786,0
0.98765802,0.41899547,0
0.83153069,0.75992125,0
0.22224110,0.91424233,1
0.89288408,0.03807526,1
0.76930034,0.02411969,1
0.94582117,0.87505913,0
0.07414915,0.32292938,1
0.39458752,0.39147186,1
0.48091805,0.46003693,1
0.38110974,0.10519955,1
0.51901037,0.18024433,1
0.96576077,0.19293867,1
0.12243895,0.59207714,1
0.83779925,0.03924584,1
0.06663240,0.25997689,1
0.34412819,0.05197237,1
0.72034621,0.12786208,1
0.97790140,0.03745848,1
0.76903707,0.92329758,0
0.14548478,0.75084347,1
0.08144549,0.43364781,1
0.23034281,0.12977016,1
0.91307223,0.51458031,0
0.22821271,0.50378042,1
0.49615017,0.54946738,1
0.34498569,0.08058095,1
0.29668078,0.68708760,1
0.61910820,0.72163683,1
0.35749459,0.96712071,0
0.00249185,0.89698368,1
0.02698724,0.74023849,1
0.73558164,0.49638405,1
0.25891772,0.58372635,1
0.62894988,0.94266820,0
0.61068648,0.86271060,0
0.32408866,0.05332422,1
0.88844752,0.70184731,0
0.97054362,0.63094342,0
0.59608716,0.33395985,1
0.99667263,0.57834154,0
0.88490272,0.95275205,0
0.47167239,0.13593304,1
0.65715379,0.80469108,0
0.60503715,0.62436551,1
0.78033078,0.80395651,0
0.79602945,0.83063817,0
0.21517093,0.06170873,1
0.39498475,0.07673651,1
0.82255173,0.42675430,1
0.90268117,0.70205355,0
0.77351886,0.35031313,1
0.84551984,0.47031164,1
0.57534617,0.32615530,1
0.06935767,0.41286480,1
0.99507821,0.23403738,0
0.18398216,0.55817097,1
0.16208400,0.61180079,1
0.09716935,0.94887024,1
0.82739753,0.74660277,0
